full_name,targets,rec,rec_yards,air_yards,yac,td,adot,racr,ms_air,tgt_share,wopr,ppr
DeAndre Hopkins,163,115,1583,1995,384,11,12.2,0.79,0.45,0.32,0.8,338.6
Davante Adams,168,110,1370,1904,472,13,11.3,0.72,0.36,0.28,0.68,325
Julio Jones,169,112,1655,2420,449,7,14.3,0.68,0.45,0.28,0.73,320.7
Antonio Brown,167,101,1273,1899,461,15,11.4,0.67,0.38,0.26,0.66,318.3
Adam Thielen,153,111,1370,1453,438,9,9.5,0.94,0.33,0.25,0.61,304.2
Michael Thomas,146,123,1320,1135,470,8,7.8,1.16,0.3,0.29,0.64,303
Tyreek Hill,132,82,1336,1898,520,10,14.4,0.7,0.37,0.23,0.61,294
JuJu Smith-Schuster,165,110,1375,1394,672,7,8.4,0.99,0.26,0.24,0.55,290.8
Mike Evans,135,83,1391,2121,239,8,15.7,0.66,0.33,0.22,0.56,270.1
Stefon Diggs,148,102,1021,1266,453,9,8.6,0.81,0.3,0.26,0.59,264.3
Robert Woods,129,84,1198,1462,416,6,11.3,0.82,0.3,0.23,0.56,259.6
Keenan Allen,137,96,1188,1183,408,5,8.6,1,0.33,0.29,0.67,252.3
Brandin Cooks,116,80,1191,1469,357,5,12.7,0.81,0.32,0.22,0.55,240.2
Kareem Hunt,36,27,384,68,344,7,1.9,5.65,0.02,0.09,0.15,229.1
T.Y. Hilton,118,74,1248,1310,459,5,11.1,0.95,0.34,0.22,0.57,228.8
Tyler Boyd,108,76,1028,1087,426,7,10.1,0.95,0.27,0.22,0.52,221.1
Odell Beckham,123,76,1047,1515,283,6,12.3,0.69,0.42,0.28,0.72,218.6
Tyler Lockett,67,55,970,910,227,10,13.6,1.07,0.24,0.16,0.4,217.1
Jarvis Landry,145,80,958,1729,233,4,11.9,0.55,0.31,0.26,0.6,211.8
Kenny Golladay,119,71,1070,1530,355,5,12.9,0.7,0.4,0.22,0.61,208.8
Calvin Ridley,90,63,816,931,357,10,10.3,0.88,0.17,0.15,0.34,207.3
Julian Edelman,107,73,834,828,346,6,7.7,1.01,0.24,0.25,0.53,201.1
Chris Godwin,95,59,842,1134,257,7,11.9,0.74,0.17,0.16,0.36,185.2
Adam Humphries,102,74,795,682,399,5,6.7,1.17,0.11,0.17,0.32,184.6
Corey Davis,113,65,891,1160,267,4,10.3,0.77,0.34,0.26,0.63,183.6
Emmanuel Sanders,94,68,808,882,312,4,9.4,0.92,0.28,0.23,0.54,183.5
Alshon Jeffery,90,63,817,1002,262,6,11.1,0.82,0.29,0.19,0.49,180.7
Sterling Shepard,106,65,862,1107,302,4,10.4,0.78,0.24,0.18,0.44,178.5
Mike Williams,66,43,664,964,118,10,14.6,0.69,0.24,0.13,0.37,177.9
Mohamed Sanu,93,65,830,783,393,4,8.4,1.06,0.15,0.15,0.33,176.4
Larry Fitzgerald,110,67,689,1024,201,6,9.3,0.67,0.26,0.22,0.52,171.9
Dede Westbrook,99,64,668,838,337,5,8.5,0.8,0.23,0.19,0.44,170.6
Nelson Agholor,96,63,736,953,341,4,9.9,0.77,0.22,0.16,0.4,163.8
D.J. Moore,83,55,788,810,416,2,9.8,0.97,0.19,0.15,0.36,163
Amari Cooper,75,52,719,732,311,6,9.8,0.98,0.32,0.24,0.58,161
Robby Anderson,91,49,736,1431,177,6,15.7,0.51,0.34,0.2,0.54,157.8
Jordy Nelson,87,63,739,805,241,3,9.3,0.92,0.23,0.17,0.41,154.7
Allen Robinson,93,54,741,1124,216,4,12.1,0.66,0.29,0.22,0.53,153
Taylor Gabriel,91,66,689,1049,236,2,11.5,0.66,0.23,0.18,0.43,153
Zay Jones,100,54,621,1256,133,6,12.6,0.49,0.25,0.21,0.48,152.1
A.J. Green,76,45,683,949,161,6,12.5,0.72,0.37,0.23,0.61,149.3
Cole Beasley,85,64,656,627,208,3,7.4,1.05,0.16,0.16,0.35,147.6
John Brown,97,42,717,1559,158,5,16.1,0.46,0.32,0.17,0.49,144.1
Curtis Samuel,64,38,477,759,111,5,11.9,0.63,0.21,0.14,0.36,136.1
DeSean Jackson,72,38,712,1364,176,3,18.9,0.52,0.27,0.15,0.41,136.1
Tyrell Williams,63,40,631,789,183,5,12.5,0.8,0.21,0.13,0.34,134.5
Doug Baldwin,69,46,583,809,142,5,11.7,0.72,0.26,0.2,0.49,134.3
Willie Snead,95,62,649,775,276,1,8.2,0.84,0.17,0.18,0.39,134.2
Michael Crabtree,100,54,608,1104,122,3,11,0.55,0.23,0.18,0.43,132.8
Courtland Sutton,84,41,659,1176,173,4,14,0.56,0.27,0.15,0.41,130.8
Josh Gordon,68,40,720,922,264,3,13.6,0.78,0.28,0.17,0.44,130
Donte Moncrief,90,47,649,1104,252,3,12.3,0.59,0.31,0.17,0.47,129.9
Antonio Callaway,79,41,571,1100,233,5,13.9,0.52,0.2,0.14,0.35,128.8
Cooper Kupp,54,38,530,438,299,6,8.1,1.21,0.2,0.2,0.44,128.3
Kenny Stills,64,37,553,1046,127,6,16.3,0.53,0.31,0.15,0.45,128.3
Christian Kirk,68,43,590,653,226,3,9.6,0.9,0.24,0.19,0.46,123.5
Rashard Higgins,55,40,579,593,158,4,10.8,0.98,0.13,0.12,0.27,121.9
Devin Funchess,78,43,547,1049,76,4,13.4,0.52,0.27,0.16,0.42,121.7
Danny Amendola,76,57,565,597,224,1,7.9,0.95,0.17,0.18,0.39,119.3
Anthony Miller,53,32,408,622,141,7,11.7,0.66,0.14,0.11,0.27,117.4
Golden Tate,69,44,508,450,272,3,6.5,1.13,0.22,0.27,0.56,117
Marvin Jones,62,35,508,906,101,5,14.6,0.56,0.36,0.19,0.53,115.8
Sammy Watkins,55,40,519,526,225,3,9.6,0.99,0.16,0.15,0.34,115.1
Marquez Valdes-Scantling,72,38,581,888,210,2,12.3,0.65,0.16,0.11,0.28,111
Chester Rogers,71,51,474,445,261,2,6.3,1.07,0.09,0.11,0.23,109
Kendrick Bourne,64,39,447,541,133,4,8.5,0.83,0.15,0.12,0.29,107.7
Will Fuller,45,32,503,623,166,4,13.8,0.81,0.29,0.2,0.5,106.3
Seth Roberts,65,44,489,572,206,2,8.8,0.85,0.16,0.13,0.3,105.4
Dante Pettis,45,27,467,514,205,5,11.4,0.91,0.19,0.12,0.32,103.5
Josh Doctson,77,42,477,1103,110,2,14.3,0.43,0.29,0.17,0.46,101.7
Chris Hogan,51,33,506,647,171,3,12.7,0.78,0.14,0.09,0.24,101.6
Josh Reynolds,53,29,402,657,129,5,12.4,0.61,0.19,0.14,0.34,100
David Moore,52,25,440,907,82,5,17.4,0.49,0.29,0.15,0.43,99.5
Jarius Wright,59,43,447,379,198,1,6.4,1.18,0.09,0.11,0.22,97.6
Michael Gallup,69,33,507,957,173,2,13.9,0.53,0.25,0.14,0.39,95.7
Chris Conley,51,31,325,440,139,5,8.6,0.74,0.09,0.1,0.21,93.5
Keelan Cole,67,38,491,662,136,1,9.9,0.74,0.21,0.15,0.37,93.1
Demaryius Thomas,54,35,396,587,129,3,10.9,0.67,0.25,0.19,0.46,92.6
Albert Wilson,37,27,394,273,334,4,7.4,1.44,0.16,0.18,0.38,92
Cordarrelle Patterson,30,23,221,186,145,3,6.2,1.19,0.04,0.06,0.11,90.9
Taywan Taylor,56,37,466,757,161,1,13.5,0.62,0.27,0.16,0.43,89.6
Robert Foster,41,23,480,940,163,3,22.9,0.51,0.24,0.13,0.37,89
Randall Cobb,61,38,384,508,233,2,8.3,0.76,0.16,0.17,0.37,88.4
John Ross,58,21,210,804,77,7,13.9,0.26,0.24,0.14,0.37,84.9
Quincy Enunwa,67,37,407,456,248,1,6.8,0.89,0.16,0.19,0.41,83.7
Jamison Crowder,50,29,388,454,211,2,9.1,0.85,0.22,0.19,0.44,82.8
Marquise Goodwin,41,21,362,547,123,4,13.3,0.66,0.21,0.12,0.33,82.1
Phillip Dorsett,41,32,290,417,100,3,10.2,0.7,0.13,0.11,0.25,81.9
Tre'Quan Smith,42,26,350,496,78,3,11.8,0.71,0.16,0.1,0.27,79
Jermaine Kearse,75,36,368,738,135,1,9.8,0.5,0.19,0.17,0.39,78.8
Ryan Grant,51,35,334,409,93,1,8,0.82,0.09,0.09,0.2,74.4
Tajae Sharpe,47,27,336,525,91,2,11.2,0.64,0.17,0.12,0.3,74.2
Aldrick Robinson,36,18,236,605,43,5,16.8,0.39,0.16,0.07,0.22,71.6
Laquon Treadwell,53,35,302,302,120,1,5.7,1,0.07,0.09,0.19,71.2
Ryan Switzer,43,36,253,147,137,1,3.4,1.72,0.03,0.06,0.11,69.4
Tim Patrick,42,24,319,447,112,2,10.6,0.71,0.13,0.09,0.23,68.5
Dontrelle Inman,37,26,292,372,71,2,10.1,0.78,0.17,0.13,0.31,67.2
Zach Pascal,44,26,272,470,71,2,10.7,0.58,0.11,0.08,0.19,66.2
DaeSean Hamilton,44,29,225,374,62,2,8.5,0.6,0.12,0.11,0.25,63.5
Keke Coutee,41,28,287,208,210,1,5.1,1.38,0.15,0.22,0.44,62.7
Demaryius Thomas,33,23,275,323,145,2,9.8,0.85,0.2,0.16,0.38,62.5
Geronimo Allison,30,20,303,388,106,2,12.9,0.78,0.24,0.16,0.4,62.3
Breshad Perriman,25,16,340,493,75,2,19.7,0.69,0.15,0.08,0.22,62.2
Jordan Matthews,28,20,300,282,96,2,10.1,1.06,0.09,0.07,0.17,62
Allen Hurns,36,20,295,452,78,2,12.6,0.65,0.13,0.08,0.21,61.5
DeVante Parker,47,24,309,595,122,1,12.7,0.52,0.23,0.15,0.39,60.9
Jaron Brown,20,14,166,271,46,5,13.6,0.61,0.1,0.07,0.17,60.6
Golden Tate,42,28,270,332,142,1,7.9,0.81,0.17,0.15,0.34,60.2
Kelvin Benjamin,61,22,322,1050,50,1,17.2,0.31,0.29,0.17,0.45,60.2
Maurice Harris,47,28,304,464,100,0,9.9,0.66,0.16,0.13,0.31,59.4
Paul Richardson,34,20,262,431,47,2,12.7,0.61,0.24,0.14,0.38,59.1
Pierre Garcon,46,24,286,478,98,1,10.4,0.6,0.27,0.19,0.47,58.6
Jakeem Grant,33,20,260,271,140,2,8.2,0.96,0.11,0.11,0.24,58
Demarcus Robinson,31,20,198,346,66,3,11.2,0.57,0.08,0.07,0.16,57.8
Amari Cooper,32,22,280,337,97,1,10.5,0.83,0.24,0.14,0.37,56.9
Trent Taylor,40,26,215,254,102,1,6.3,0.85,0.08,0.09,0.19,53.5
Tavon Austin,14,9,204,246,63,3,17.6,0.83,0.14,0.07,0.19,51.8
Ted Ginn,28,16,207,464,43,2,16.6,0.45,0.31,0.14,0.42,51.3
Isaiah McKenzie,27,15,170,290,64,0,10.7,0.59,0.11,0.14,0.29,50.4
T.J. Jones,26,19,190,268,36,2,10.3,0.71,0.1,0.06,0.16,50
Martavis Bryant,28,20,272,325,132,0,11.6,0.84,0.21,0.11,0.31,49.5
Terrelle Pryor,22,14,235,272,61,2,12.4,0.86,0.18,0.12,0.32,49.5
Equanimeous St. Brown,34,19,290,480,107,0,14.1,0.6,0.12,0.08,0.21,48.5
