name,team,cushion,seperation,yac_r,xyac_r,plus_minus
Julio Jones,ATL,5.7,2.5,4.2,4,0.2
DeAndre Hopkins,HOU,4.9,2.5,3.7,4.2,-0.5
Mike Evans,TB,5.7,2.1,3.8,3.4,0.3
Tyreek Hill,KC,5.9,3.1,6.4,5.2,1.2
Michael Thomas,NO,4.6,2.7,4.1,3.5,0.5
Davante Adams,GB,4.8,3,4.6,5.1,-0.4
JuJu Smith-Schuster,PIT,5.3,3,6.1,5.8,0.3
George Kittle,SF,5.4,3.3,10.2,7,3.2
Adam Thielen,MIN,5.8,2.9,3.9,3.8,0.1
Travis Kelce,KC,5.6,2.9,5.8,4.9,0.9
Antonio Brown,PIT,5,2.6,5,4.8,0.3
T.Y. Hilton,IND,5.9,2.3,6.2,5.9,0.3
Robert Woods,LAR,6.4,3,5.3,5.5,-0.3
Brandin Cooks,LAR,5.7,2.7,4.5,4.8,-0.3
Keenan Allen,LAC,5.3,2.7,4.4,5.2,-0.8
Zach Ertz,PHI,6.1,3.2,3.3,4.2,-0.9
Kenny Golladay,DET,4.9,2.3,5.4,5.1,0.3
Odell Beckham,NYG,6.2,3,4.5,4.8,-0.3
Tyler Boyd,CIN,5.6,2.9,5.8,5.4,0.4
Stefon Diggs,MIN,5.9,2.7,4.3,4.4,-0.1
Amari Cooper,DAL,6,2.9,5.7,3.8,2
Jarvis Landry,CLE,5.7,3.3,3.8,4.9,-1
Tyler Lockett,SEA,6.6,3.3,4.2,5.3,-1.1
Jared Cook,OAK,5.6,3,5.7,5.9,-0.2
Corey Davis,TEN,6.1,3.1,4.3,4.5,-0.1
Sterling Shepard,NYG,5.9,3.1,5.1,4.7,0.4
Emmanuel Sanders,DEN,6.2,3.2,4.6,5.2,-0.6
Julian Edelman,NE,6.2,3.3,5,5.1,-0.1
Chris Godwin,TB,6.2,2.6,4.6,3.9,0.7
Alshon Jeffery,PHI,5.5,2.5,4.7,4.2,0.5
Mohamed Sanu,ATL,5.7,3,6.1,5.6,0.5
Calvin Ridley,ATL,6.3,3.2,5.8,4.9,0.9
Adam Humphries,TB,6.5,3.6,5.7,5.3,0.4
Golden Tate,PHI,6.3,3,5.8,5,0.8
D.J. Moore,CAR,6.1,2.9,7.9,4.9,3
DeSean Jackson,TB,7.3,2.7,4.6,4.7,-0.1
Allen Robinson,CHI,5.5,2,4.5,4.1,0.4
