Season,Player,Team,Tgts,Catchable,Rec,Drops,Yds,AirYards,YAC,YAContact,TDs,Brkn Tkls,First Downs
2018,Jarvis Landry,Browns,110,77,59,5,683,518,165,75,3,2,34
2018,JuJu Smith-Schuster,Steelers,109,83,70,4,891,497,394,119,4,2,44
2018,Adam Thielen,Vikings,106,92,83,1,965,624,341,113,7,1,53
2018,Zach Ertz,Eagles,103,85,71,6,731,513,213,72,2,2,38
2018,Robert Woods,Rams,99,77,67,3,957,645,312,133,4,2,51
2018,Travis Kelce,Chiefs,98,76,66,2,912,566,347,154,8,4,49
2018,Larry Fitzgerald,Cardinals,94,65,56,4,618,454,164,80,4,3,37
2018,Dede Westbrook,Jaguars,93,76,62,8,696,349,347,155,5,5,38
2018,Golden Tate,Eagles,93,72,60,4,672,339,324,197,4,16,30
2018,Julian Edelman,Patriots,88,75,61,7,736,419,317,107,4,5,33
2018,Tyler Boyd,Bengals,88,69,60,6,805,470,335,118,5,4,40
2018,Michael Thomas,Saints,87,80,75,1,917,574,343,142,3,5,44
2018,Keenan Allen,Chargers,87,71,65,3,819,522,297,112,4,3,48
2018,Adam Humphries,Buccaneers,87,72,62,2,694,343,358,123,3,0,44
2018,Willie Snead IV,Ravens,86,64,56,5,592,325,267,105,1,6,33
2018,Eric Ebron,Colts,84,63,49,7,511,376,135,50,8,2,28
2018,Brandin Cooks,Rams,81,62,55,1,868,614,254,81,2,2,39
2018,Mohamed Sanu,Falcons,78,62,57,3,738,364,374,137,4,4,35
2018,Cole Beasley,Cowboys,77,61,58,1,638,420,218,76,3,0,37
2018,Tyreek Hill,Chiefs,77,60,53,6,934,621,313,79,9,1,38
2018,Julio Jones,Falcons,74,56,51,3,746,543,209,96,2,3,35
2018,Nelson Agholor,Eagles,73,59,50,3,589,301,310,118,2,6,22
2018,Sterling Shepard,Giants,71,53,42,4,533,343,190,79,3,0,31
2018,Danny Amendola,Dolphins,70,57,55,1,549,329,220,49,1,1,27
2018,Corey Davis,Titans,70,51,42,3,505,297,208,97,4,5,29
2018,Chester Rogers,Colts,67,57,50,4,437,190,254,75,2,3,26
2018,Jermaine Kearse,Jets,65,42,32,2,334,209,125,54,1,1,20
2018,Emmanuel Sanders,Broncos,64,51,44,3,536,345,179,71,2,2,23
2018,Antonio Brown,Steelers,64,49,43,2,459,233,228,55,7,2,27
2018,T.Y. Hilton,Colts,61,42,35,1,591,398,193,46,3,0,31
2018,Stefon Diggs,Vikings,60,48,45,1,532,290,242,101,4,6,23
2018,Seth Roberts,Raiders,56,44,39,3,461,271,190,79,2,2,22
2018,Zay Jones,Bills,55,39,32,4,381,296,85,44,4,0,19
2018,Odell Beckham,Giants,54,38,38,0,525,365,160,82,4,1,26
