Season,Player,Team,Tgts,Catchable,Rec,Drops,Yds,AirYards,YAC,YAContact,TDs,Brkn Tkls,First Downs
2018,Davante Adams,Packers,118,83,77,2,979,697,282,87,9,5,41
2018,DeAndre Hopkins,Texans,111,84,73,1,927,706,223,91,6,4,52
2018,Antonio Brown,Steelers,104,73,60,0,832,561,284,117,8,3,36
2018,Julio Jones,Falcons,97,74,62,3,931,676,255,94,6,3,45
2018,Mike Evans,Buccaneers,97,70,59,7,1113,879,234,66,5,2,50
2018,Stefon Diggs,Vikings,84,62,53,4,472,310,162,78,4,4,25
2018,Amari Cooper,Cowboys,73,56,51,5,771,421,353,130,6,7,38
2018,Michael Crabtree,Ravens,70,51,39,5,437,333,104,39,3,2,24
2018,Odell Beckham,Giants,66,45,37,2,508,354,164,66,2,7,23
2018,Robby Anderson,Jets,65,44,32,0,505,377,128,24,4,0,18
2018,Kenny Golladay,Lions,64,44,36,5,518,366,151,66,1,3,27
2018,Courtland Sutton,Broncos,62,46,30,6,556,437,119,78,3,2,22
2018,Michael Thomas,Saints,60,55,50,3,488,332,156,79,6,6,31
2018,T.Y. Hilton,Colts,59,45,41,3,679,422,257,47,3,3,25
2018,Antonio Callaway,Browns,59,40,30,6,472,290,182,91,4,3,21
2018,Alshon Jeffery,Eagles,58,51,44,3,541,374,167,73,3,3,33
2018,Michael Gallup,Cowboys,58,34,26,1,386,251,135,52,2,1,16
2018,Donte Moncrief,Jaguars,56,34,25,1,363,301,62,10,2,0,17
2018,JuJu Smith-Schuster,Steelers,55,47,39,1,535,258,244,132,3,7,22
2018,Josh Doctson,Redskins,55,37,31,2,322,249,73,37,2,1,21
2018,Kelvin Benjamin,Chiefs,53,26,17,4,255,212,43,21,1,0,11
2018,Josh Gordon,Patriots,52,40,30,4,555,313,242,163,3,4,23
2018,Tyreek Hill,Chiefs,52,30,27,1,465,293,172,111,2,2,19
2018,DJ Moore,Panthers,50,38,28,3,471,261,210,172,1,7,19
2018,DeSean Jackson,Buccaneers,50,30,26,1,511,364,147,37,3,0,19
2018,David Moore,Seahawks,50,32,24,1,396,313,76,50,5,1,20
2018,Keenan Allen,Chargers,49,40,32,2,377,263,114,40,2,0,15
2018,Curtis Samuel,Panthers,48,39,31,2,398,298,100,38,5,4,18
2018,Devin Funchess,Panthers,48,32,26,3,328,284,44,17,4,0,23
2018,Taylor Gabriel,Bears,47,37,31,2,392,311,81,27,0,1,17
2018,Demaryius Thomas,Texans,47,36,30,3,378,242,136,59,2,0,18
2018,Adam Thielen,Vikings,47,33,29,1,406,323,83,57,2,0,23
2018,Jordy Nelson,Raiders,46,33,31,0,362,242,120,40,1,1,20
2018,Calvin Ridley,Falcons,46,38,30,6,438,291,147,64,6,0,23
2018,Chris Godwin,Buccaneers,46,31,29,1,466,329,137,53,3,4,26
2018,Marvin Jones,Lions,46,30,26,1,329,262,67,30,3,1,18
2018,Allen Robinson,Bears,46,27,23,1,262,179,83,60,1,4,11
2018,John Brown,Ravens,46,34,18,5,257,199,67,22,2,0,10
2018,Zay Jones,Bills,44,29,24,1,290,215,52,22,3,1,15
2018,Corey Davis,Titans,41,29,23,3,386,300,86,39,0,2,18
2018,A.J. Green,Bengals,40,27,21,2,268,209,59,34,2,0,16
2018,DeVante Parker,Dolphins,40,26,21,1,247,185,82,45,1,2,12
2018,John Ross,Bengals,39,17,14,3,166,116,50,18,5,2,9
2018,Chad Williams,Cardinals,39,21,13,3,139,125,14,8,1,0,8
2018,Ryan Grant,Colts,38,30,25,3,256,193,63,32,1,0,14
2018,Christian Kirk,Cardinals,36,27,21,1,193,154,39,8,1,0,9
2018,Laquon Treadwell,Vikings,35,29,24,3,210,123,87,51,0,4,12
2018,Brandin Cooks,Rams,34,27,23,0,318,215,104,32,3,2,16
2018,Mike Williams,Chargers,33,22,18,1,197,158,39,22,4,4,13
2018,Jarvis Landry,Browns,33,22,17,2,237,183,54,16,1,1,8
2018,Keelan Cole,Jaguars,33,23,16,3,260,200,60,17,1,1,13
2018,Kendrick Bourne,49ers,32,21,16,4,185,124,62,14,1,0,11
2018,Sterling Shepard,Giants,31,26,21,2,311,212,99,34,1,0,14
2018,Kenny Stills,Dolphins,31,21,19,0,346,256,90,36,1,1,13
2018,Marquez Valdes-Scantling,Packers,31,16,14,2,253,189,64,19,1,0,7
2018,Phillip Dorsett,Patriots,29,26,23,1,221,155,66,35,2,0,14
2018,Emmanuel Sanders,Broncos,28,26,22,2,330,219,111,72,1,4,13
2018,Robert Foster,Bills,28,22,16,2,281,226,55,22,1,0,12
2018,Tyler Lockett,Seahawks,27,19,18,0,392,338,54,12,5,0,15
2018,Taywan Taylor,Titans,26,21,19,2,248,156,92,51,1,3,12
2018,Aldrick Robinson,Vikings,26,16,12,1,196,186,10,7,5,0,10
2018,Will Fuller V,Texans,25,16,16,0,209,170,39,21,1,0,12
2018,Tyrell Williams,Chargers,25,19,16,2,321,216,105,17,5,0,14
2018,Rashard Higgins,Browns,24,18,17,1,258,147,111,43,2,0,12
2018,Allen Hurns,Cowboys,24,18,16,1,246,176,68,38,1,1,8
2018,Zach Pascal,Colts,24,16,10,3,105,85,20,12,1,0,7
2018,Geronimo Allison,Packers,23,17,14,3,259,162,97,33,2,1,9
2018,Sammy Watkins,Chiefs,22,19,18,0,236,131,105,51,1,2,9
2018,Tim Patrick,Broncos,22,15,11,2,166,100,66,27,1,0,8
2018,Jakeem Grant,Dolphins,21,15,14,1,161,63,98,31,1,0,10
2018,Terrelle Pryor,Bills,21,16,12,1,200,148,52,13,1,0,8
2018,Marquise Goodwin,49ers,21,12,11,1,202,134,68,5,1,0,10
2018,DJ Chark Jr,Jaguars,21,14,9,1,141,113,28,13,0,0,5
2018,Cody Core,Bengals,21,13,9,3,124,100,24,14,1,1,4
2018,James Washington,Steelers,21,9,8,0,102,70,32,24,1,1,5
2018,Marcell Ateman,Raiders,20,15,12,2,119,94,25,6,1,0,6
2018,Tre'Quan Smith,Saints,19,17,14,2,255,172,83,51,2,1,10
2018,Deonte Thompson,Bills,19,14,12,1,118,91,27,9,0,0,7
2018,Torrey Smith,Panthers,19,14,11,1,161,116,45,38,0,1,9
2018,Maurice Harris,Redskins,19,12,9,2,103,76,27,8,0,0,4
2018,Chris Conley,Chiefs,18,13,13,0,177,122,55,34,2,1,10
2018,Martavis Bryant,Raiders,18,14,13,1,157,58,99,35,0,1,7
2018,Julian Edelman,Patriots,18,15,13,0,114,76,38,13,2,1,8
2018,Jordan Matthews,Eagles,18,14,13,1,193,122,71,26,2,3,9
2018,Demarcus Robinson,Chiefs,18,13,11,1,79,60,19,8,3,2,5
2018,Breshad Perriman,Browns,18,13,10,0,207,157,50,15,0,1,9
2018,Robert Woods,Rams,18,12,10,0,147,67,80,19,0,0,9
2018,Jared Cook,Raiders,18,11,8,2,135,102,33,22,1,1,6
2018,Brandon Marshall,Saints,18,11,7,2,109,90,19,16,1,1,6
2018,Dontrelle Inman,Colts,17,14,12,0,134,116,18,8,0,1,5
2018,Albert Wilson,Dolphins,17,12,11,1,153,34,119,88,1,3,4
2018,Andre Holmes,Broncos,17,12,9,0,112,80,32,20,0,0,7
2018,Tyler Boyd,Bengals,16,14,13,1,201,131,70,18,2,0,11
2018,Doug Baldwin,Seahawks,16,12,11,0,207,163,44,22,1,1,8
2018,Nelson Agholor,Eagles,16,14,10,1,108,80,28,6,0,0,5
2018,Dante Pettis,49ers,16,10,10,0,159,80,79,48,2,3,6
2018,Equanimeous St. Brown,Packers,16,9,9,0,149,123,26,16,0,0,7
2018,Chris Hogan,Patriots,16,10,9,1,92,75,17,6,0,0,3
2018,Pierre Garcon,49ers,16,11,8,2,79,50,29,14,0,3,4
2018,J.J. Nelson,Cardinals,16,7,5,0,37,17,20,8,0,0,2
2018,Adam Humphries,Buccaneers,15,13,12,1,108,36,72,25,2,1,4
2018,Trent Sherfield,Cardinals,15,13,11,0,129,92,37,15,1,0,8
2018,Quincy Enunwa,Jets,15,9,9,0,90,25,65,47,0,3,5
2018,James White,Patriots,15,10,9,1,76,50,26,7,0,0,4
2018,Paul Richardson,Redskins,15,7,7,0,78,73,5,-1,1,1,3
2018,Golden Tate,Eagles,14,13,11,2,94,33,61,23,0,1,4
2018,Damion Ratley,Browns,14,11,9,2,80,55,25,9,0,0,3
2018,Ted Ginn,Saints,14,11,8,2,107,78,47,0,0,0,4
2018,Mohamed Sanu,Falcons,14,11,8,0,88,64,24,16,0,1,6
2018,Bennie Fowler,Giants,14,11,8,0,103,64,39,21,1,3,7
